iso,year,tree_loss_ha,gfw_gross_emissions_co2e_all_gases__Mg
CYM,2002,5.598244417,1288.740619
CYP,2002,31.74324402,7337.412032
CZE,2002,6766.437908,2745750.112
DEU,2002,15303.26237,6472421.472
DMA,2002,11.87470804,6565.890373
DNK,2002,1204.489939,292655.1199
DOM,2002,10435.97987,3779136.087
DZA,2002,3009.833121,872031.8741
ECU,2002,29817.73772,17724841.95
EGY,2002,48.81325058,16065.87391
ERI,2002,0,309.4623494
ESP,2002,37699.01981,10728464.71
EST,2002,21918.38645,4970292.942
ETH,2002,13074.08741,5469188.17
FIN,2002,142432.404,26695409.84
FJI,2002,703.2099391,375982.8234
FRA,2002,33888.39717,12936791.73
GAB,2002,13851.84666,7911232.411
GBR,2002,20112.34996,7427520.419
GEO,2002,536.442198,193751.3496
GGY,2002,0.050347617,8.751561525
GHA,2002,78395.05298,32739303.06
GIB,2002,0.12482941,17.75154251
GIN,2002,28933.47429,10676749.66
GLP,2002,50.88541896,19246.66819
GMB,2002,40.15764074,21960.913
GNB,2002,6073.797259,1838299.343
GNQ,2002,2986.110544,1850662.795
GRC,2002,5126.049313,1136958.996
GRD,2002,65.83774686,34106.87834
GTM,2002,55600.93461,22823129.67
GUF,2002,2496.703749,1863705.335
GUY,2002,4827.394979,3030528.296
HKG,2002,15.61155641,6696.506881
HND,2002,31528.01233,13393054.59
HRV,2002,2340.179492,784846.2642
HTI,2002,2120.380505,695844.5813
HUN,2002,7711.03737,2696431.497
IDN,2002,855275.863,626768628
IMN,2002,13.6648598,3495.001407
IND,2002,53005.48774,25842975.32
IRL,2002,5298.280939,2209000.074
IRN,2002,557.752371,131965.9418
IRQ,2002,10.62006031,2183.150476
ISR,2002,111.7306785,26622.19188
ITA,2002,10931.22755,2989470.944
JAM,2002,1647.570637,750071.7741
JEY,2002,0.810373894,223.6488572
JOR,2002,0.196107558,54.12785949
JPN,2002,26154.03983,10029431.68
KAZ,2002,2952.306624,718955.3718
KEN,2002,20287.52622,10190073.46
KGZ,2002,305.4574798,68233.43367
KHM,2002,54862.0762,28019607.63
KNA,2002,19.79075058,7142.531746
KOR,2002,4705.326872,1192962.801
LAO,2002,55936.73071,28831866.98
LBN,2002,81.20045904,19264.35674
LBR,2002,56984.42382,26617312.81
LBY,2002,40.24566353,8155.458639
LCA,2002,10.91096809,5595.448265
LKA,2002,3427.680386,1255581.227
LSO,2002,2.687139564,897.5622849
LTU,2002,10344.83819,2721968.169
LUX,2002,90.45691516,44197.13137
