iso,adm1,umd_tree_cover_loss__year,tree_loss_state,co2_state
BRA,14,2018,820257.4488,532548992.4
BRA,15,2018,3024.322348,1077270.796
BRA,16,2018,58334.04636,31327643.13
BRA,17,2018,5150.407824,1907495.164
BRA,18,2018,96896.42407,37379532.23
BRA,19,2018,3200.922566,1942890.045
BRA,20,2018,1474.22571,503108.1841
BRA,21,2018,41453.22947,25439034.21
BRA,22,2018,190541.2882,129166041.9
BRA,23,2018,48999.27653,29658658.99
BRA,24,2018,47419.03861,33844187.14
BRA,25,2018,26538.10168,33639756.4
BRA,26,2018,1643.247551,845749.2559
BRA,27,2018,125325.0375,59397530.01
BRA,1,2019,84744.71073,64841987.14
BRA,2,2019,850.6560107,434328.9092
BRA,3,2019,9698.110496,6281837.251
BRA,4,2019,215503.7009,158774421
BRA,5,2019,104207.1003,44748920.13
BRA,6,2019,8010.349762,2777286.08
BRA,7,2019,132.4226462,72425.57688
BRA,8,2019,11386.20151,7100106.196
BRA,9,2019,40260.77777,19023848.99
BRA,10,2019,259756.1543,121849453.1
BRA,11,2019,57074.54606,26802739.81
BRA,12,2019,428627.7101,238710351.1
BRA,13,2019,87877.49133,60235696.98
BRA,14,2019,693042.5113,450626470.2
BRA,15,2019,1748.931599,648361.9865
BRA,16,2019,62452.26484,30067633.99
BRA,17,2019,2555.149022,964347.9426
BRA,18,2019,62283.36094,25485866.95
BRA,19,2019,2449.903203,1381162.466
BRA,20,2019,1231.00108,425358.9789
BRA,21,2019,41509.85328,19215481.72
BRA,22,2019,188394.5839,125479387.4
BRA,23,2019,160858.9926,101520867
BRA,24,2019,45645.5009,33207299
BRA,25,2019,27174.14577,22282121.46
BRA,26,2019,1997.089129,1026624.309
BRA,27,2019,97275.57977,45683995.77
BRA,1,2020,90039.09026,69016724.96
BRA,2,2020,1457.757534,811092.8458
BRA,3,2020,8409.940561,5975138.763
BRA,4,2020,242978.0788,178520559.3
BRA,5,2020,110142.9447,45388563.13
BRA,6,2020,7614.166689,2702178.86
BRA,7,2020,59.4533053,52643.06029
BRA,8,2020,9218.748184,5792891.702
BRA,9,2020,37991.8828,17998105.96
BRA,10,2020,306836.8495,146713888.2
BRA,11,2020,130179.9053,62130057.44
BRA,12,2020,862443.9953,440902708.4
BRA,13,2020,100015.7447,63727148.12
BRA,14,2020,805651.7716,524747522.7
BRA,15,2020,2083.702829,767741.3447
BRA,16,2020,55260.69134,26353006.11
BRA,17,2020,3980.695054,1506687.793
BRA,18,2020,60137.40719,24244734.93
BRA,19,2020,2800.373344,1583342.131
BRA,20,2020,1344.739767,477592.2695
BRA,21,2020,45539.84726,20307885.1
BRA,22,2020,203499.6448,136638556
BRA,23,2020,34778.28417,22108018.86
BRA,24,2020,45955.17242,33196388.26
BRA,25,2020,24978.43717,18405628.12
BRA,26,2020,3070.239772,1525445.569
BRA,27,2020,94922.22219,46688868.33
BRA,1,2021,117865.6897,91565354.75
BRA,2,2021,838.3444767,1007974.029
BRA,3,2021,5964.398174,5014056.85
BRA,4,2021,313520.6806,237399185.1
BRA,5,2021,120012.907,49427898.31
BRA,6,2021,8376.662024,3160394.123
BRA,7,2021,36.83816699,197934.2531
BRA,8,2021,7071.636397,7264876.954
BRA,9,2021,40521.33347,27481664.05
BRA,10,2021,298599.792,149132930.6
BRA,11,2021,119268.8145,109934832
BRA,12,2021,528205.4878,291617776.8
BRA,13,2021,84554.60017,119322186.4
BRA,14,2021,693516.3519,475304401.7
BRA,15,2021,2762.630058,1058909.878
BRA,16,2021,69843.08601,43070423.4
BRA,17,2021,4131.627573,1703323.601
BRA,18,2021,72694.24194,30156186.37
BRA,19,2021,2023.699881,1505157.832
BRA,20,2021,2931.811803,1060152.496
BRA,21,2021,56804.13806,39867698.07
BRA,22,2021,243030.5204,169019825.9
BRA,23,2021,28085.03488,18452821.51
BRA,24,2021,50949.64545,47231039.68
BRA,25,2021,32162.21689,41167190.63
BRA,26,2021,2162.542906,1109429.268
BRA,27,2021,85974.5738,44517776.52
BRA,1,2022,141102.779,110527919.6
BRA,2,2022,1820.6347,1584997.214
BRA,3,2022,8125.986963,5843851.087
BRA,4,2022,395727.4248,301756014.1
BRA,5,2022,168063.2746,69002461.27
